C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
-0.021538318,0.004594953,-0.010846976,-0.007344426,0.081416369,-0.049937598,-0.085150663,-0.053469075,-0.141727092,-0.034552763,-0.962051748,-0.04059731,-0.201750112,-0.230076194,-0.260091047,-0.053737931,0.003395181,27
-0.017805759,0.004086491,-0.021662319,-0.008526426,0.069276335,-0.020326655,-0.078016644,-0.180783371,-0.132425492,-0.034364174,-0.927771165,-0.112789921,-0.262397431,-0.128772579,-0.807390235,-0.11170729,0.030962933,28
-0.01988957,0.007280212,-0.010154931,0.002365217,0.071178182,-0.049937598,-0.064376437,-0.191004127,-0.129261801,-0.03124566,-0.873105181,-0.060485154,-0.041102609,-0.224958633,-0.280421939,-0.055230633,0.036196667,29
0.022993512,0.004983524,0.001412667,0.062106636,0.155052548,0.023493261,-0.005675835,-0.014608198,-0.086233892,-0.06652043,0.509396865,0.09534179,0.040762589,0.24283959,0.180682831,0.077541751,-0.109540686,30
-0.000833534,0.013656903,-0.012393523,0.037900638,0.075523849,-0.048201865,-0.059707135,-0.010258391,-0.10232796,-0.022057846,-0.542787388,0.166610712,-0.035678161,-0.185845543,-0.245797115,0.045919675,0.085752223,31
0.016755007,0.004983524,0.000125965,0.056246674,0.133332325,-0.050655903,-0.005047205,-0.007200946,-0.076454888,-0.03005773,-0.105861024,-0.03292162,0.108896599,-0.207713252,0.374495784,-0.027455685,0.02794806,32
0.03050645,0.004983524,0.001189893,0.064067182,0.154127196,-0.045879587,-0.052928763,-0.011281421,-0.071140083,-0.044549447,-0.148517098,0.176115216,0.037492237,0.141158572,0.309452895,0.099097544,0.05435163,33
0.012496076,0.005174994,0.009686734,0.059485144,0.160700732,-0.045003304,-0.057010544,-0.004026985,-0.051588981,-0.0189869,-0.088791043,-0.056585711,-0.013869939,-0.20918199,0.286715981,-0.039865664,0.017912443,34
0.025674192,0.005095215,0.001412667,0.023412372,0.127012915,0.011696309,-0.012305408,-0.023808432,-0.062093955,-0.143457865,0.42282684,0.105735574,0.137671197,0.262460799,0.18788576,0.129456991,-0.098330494,35
0.024717486,0.005095215,0.001412667,0.023412372,0.122115789,0.02533146,-0.016343173,-0.033617192,-0.061763603,-0.14835192,0.941696557,0.104832856,-0.079507124,0.232136378,0.143767554,0.055501026,-0.125350166,36
0.03289495,0.005845353,-9.68E-05,0.021740629,0.11514761,-0.043316464,0.006740301,-0.036342137,-0.041421557,-0.045734341,-0.415492782,-0.057736357,0.018458167,0.07169222,0.199607845,-0.058911818,-0.022110979,37
0.034742838,0.005095215,0.000125965,0.02449325,0.111445279,-0.036892379,0.008549799,-0.018027142,-0.020622645,-0.053064245,-0.24397688,-0.027438274,-0.049201376,-0.201146641,0.357357915,-0.018614678,0.064057351,38
0.031970588,0.005095215,0.000125965,0.019905941,0.115199182,-0.056800257,0.006074913,-0.030986748,-0.06940307,-0.060134207,-0.145660336,-0.065154954,-0.089728225,-0.210653628,0.288438906,-0.026714576,-0.046687515,39
