C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
-0.073759248,0.003186764,-0.011661072,0.070049845,0.088218392,-0.007752735,0.020420821,-0.073692562,-0.055146354,-0.087529222,-1.512211129,0.108379108,-0.487196725,-0.075913049,-0.092622796,0.026419887,0.100086714,27
-0.07635329,0.002963099,-0.017106796,0.069035633,0.078923171,-0.013905333,0.005082278,-0.096365184,-0.070709541,-0.101993,-1.807700944,-0.129554866,-0.159850375,-0.052968058,-0.60583316,0.054791324,0.20937589,28
-0.082423777,0.003186764,-0.01232147,0.074279132,0.083080395,-0.018225165,0.023568822,-0.073849974,-0.055079465,-0.082105606,-1.482340645,-0.116457332,-0.034365831,-0.066904104,-0.24015851,0.014577956,0.168277359,29
-0.02162253,0.002899099,-0.007102596,0.083458578,0.101790381,-0.007847245,0.018636403,-0.095669222,-0.121177561,-0.044666,1.151764471,0.132205832,-0.019451417,0.083836583,0.116941645,0.049324749,-0.258539384,30
-0.079919936,0.003031908,-0.007785022,0.080383661,0.085833226,-0.017494484,0.026145313,-0.057822825,-0.038226096,-0.05175761,-0.951218408,0.140884668,0.050083859,-0.049474699,-0.221992917,0.022769934,0.215503139,31
-0.064403321,0.003031908,-0.007236418,0.075885542,0.110162954,-0.013472473,0.044266926,-0.061962545,-0.024613377,0.021072079,-0.263501343,-0.076804886,0.262209486,-0.04205715,0.202073578,-0.019135555,0.040143609,32
-0.06381723,0.003031908,-0.007102596,0.084305496,0.115480019,-0.007847245,0.04034473,-0.044417048,-0.028453932,-0.010311611,0.26756174,0.113168979,0.020550109,0.080903197,0.234315991,-0.025957315,-0.072709855,33
-0.079146701,0.003031908,-0.007762994,0.074402257,0.10588905,-0.014498761,0.036715819,-0.073129569,-0.026174773,0.014557572,-0.202945237,-0.103588441,0.122007668,-0.040664921,0.205026581,-0.029193606,0.014079617,34
0.053570904,0.002899099,-0.005780855,0.075669727,0.101781167,-0.006820956,-0.042008586,-0.107971345,-0.106930402,-0.082386625,1.056991347,0.065780248,0.197681324,0.101997701,0.101561083,-0.056673488,-0.258796406,35
0.053570904,0.002899099,-0.005780855,0.075030238,0.090106962,-0.006820956,-0.042092245,-0.151611122,-0.114661453,-0.077873978,1.440880191,0.071866542,0.004016142,0.036389416,0.164594092,-0.060385872,-0.271001905,36
0.069155829,0.003031908,-0.006967829,0.064490631,0.105842979,-0.018225165,-0.030924993,-0.095703385,-0.080333707,-0.038984833,-0.219542997,-0.137717178,0.014112247,0.052831781,0.192195052,-0.123615122,0.0221017,37
0.063371461,0.003031908,-0.006441253,0.064490631,0.114278424,-0.011573649,-0.029745823,-0.098263408,-0.078854501,-0.039901513,-0.211992843,0.086184421,-0.069648452,-0.014415718,0.185193329,-0.069433928,0.04884818,38
0.063492887,0.003031908,-0.006967829,0.07439387,0.110359907,-0.014498761,-0.029904303,-0.098881148,-0.083646243,-0.039051393,-0.152200766,-0.109875947,-0.021656835,-0.038911451,0.18561773,-0.040970466,-0.074360989,39
-0.113422435,0.00278283,-0.003046249,0.072187725,0.09864869,-0.006820956,-0.051807294,-0.06973868,-0.079401701,-0.01417926,1.020636649,0.022282074,0.207997407,0.013970831,0.093845916,-0.078069463,-0.62428846,40
-0.069996994,0.003031908,-0.006967829,0.064490631,0.094428034,-0.018225165,-0.052843193,-0.08396359,-0.066424748,-0.039257956,-0.939814592,-0.099710343,-0.028924123,-0.045121977,0.142841904,0.052721975,0.125774853,41
-0.074190182,0.003031908,-0.006967829,0.06005366,0.102824129,-0.018225165,-0.057538217,-0.107371953,-0.074228772,-0.064922856,-0.217691896,-0.137010467,0.081423173,-0.008413387,0.196363532,-0.126658098,-0.06820377,42
-0.084757176,0.003031908,-0.006307431,0.07439387,0.107540815,-0.007847245,-0.060891494,-0.065111187,-0.075134,-0.042677063,0.239987675,0.108421175,0.023378104,0.063888714,0.156991051,-0.078465469,-0.22553486,43
-0.094857342,0.003031908,-0.005780855,0.06005366,0.111148502,-0.011573649,-0.056927568,-0.103296925,-0.074157698,-0.063222037,-0.258136106,0.068358716,-0.072807696,0.041452196,0.122283144,-0.128359883,-0.144877462,44
0.0591027,0.00278283,-0.003572825,0.070980069,0.090732018,-0.007847245,-0.012307563,0.198999301,0.146021009,0.11575627,2.382534141,0.119674574,0.04760949,0.139353082,0.177889938,-0.058992784,-0.239730669,45
0.0591027,0.002899099,-0.003572825,0.076411052,0.090622971,-0.007847245,-0.018877033,-0.062118994,-0.074541738,-0.027754926,2.216572219,0.103178727,0.049013172,0.042002203,0.218616871,-0.019502469,0.195806427,46
0.059762161,0.00278283,-0.003046249,0.072463355,0.090106962,-0.005613347,0.004459132,0.235553706,0.132344844,0.171216314,2.289229103,0.035039375,0.23310479,0.137318484,0.140178256,-0.028849853,-0.219227584,47
