C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
0.002027965,-0.002193433,-0.031288724,0.002289249,0.049404403,-0.002345505,-0.028312728,-0.101873656,-0.056972266,-0.063401852,-1.362891685,0.058318803,-0.168673947,-0.016823751,-0.158960342,-0.004196461,-0.031419376,27
8.87E-06,-0.001401591,-0.023067198,0.003721438,0.038299104,0.004065738,-0.021342497,-0.079343674,-0.068477894,-0.059434529,-1.590404084,-0.0626345,-0.242152975,-0.039076596,-0.42509758,0.000594871,0.006553833,28
-0.000366912,-0.000519378,-0.026497202,0.001561123,0.049829675,-0.001866444,-0.029465658,-0.083703135,-0.055649593,-0.045394317,-1.314607256,0.006832945,-0.069179334,-0.028279907,-0.163246698,-0.005237163,0.012340118,29
-0.004232876,0.000378607,-0.01011331,0.003662426,0.044387451,-0.000410935,-0.032357497,-0.195655295,-0.11601904,-0.129317054,1.458792234,0.018943102,0.043474332,0.046821146,0.110920227,0.007005771,-0.033958174,30
-0.000167989,0.006016743,-0.01779124,0.002939929,0.05659318,-0.002694166,-0.02611512,-0.069071927,-0.020574452,-0.044643645,-0.955845094,-0.013204265,0.088586215,-0.038096765,-0.110708328,-0.019112644,0.046692252,31
0.018886875,0.000913632,-0.011835995,0.007683737,0.124973449,-0.001291396,-0.009316968,-0.050157079,-0.013355621,-0.000996518,-0.357111171,-0.002972169,0.104189339,-0.038332679,0.229837529,-0.011561941,-0.003682183,32
0.014097032,0.000577074,-0.011349691,0.005060633,0.130353179,-0.001459865,-0.005082039,-0.047104814,-0.045755503,-0.026761669,-0.009501732,0.036275167,0.03181855,0.054547849,0.253112233,0.00393415,-0.026109706,33
0.018809239,0.00102372,-0.011860949,0.008079044,0.126090228,-0.001605605,-0.000593901,-0.049529079,-0.026979714,-0.001786994,-0.320717334,-0.005966008,0.055567085,-0.034980016,0.234938619,0.002690242,-0.020684035,34
0.004755404,0.000383468,-0.00936595,0.003282639,0.040340559,-0.000950238,-0.023782993,-0.19653055,-0.124288196,-0.138789742,1.369733695,0.030206024,0.05431395,0.040725614,0.096374582,0.004015277,-0.02923103,35
0.007273512,0.000383468,-0.00924469,0.003231817,0.037543925,-0.000774526,-0.018646323,-0.190238775,-0.120897238,-0.146642953,1.482039842,0.037849462,0.056894828,0.043117934,0.10277019,0.005002254,-0.027237247,36
-0.000311565,0.001015628,-0.012231266,0.005921749,0.112304739,-0.003606261,0.000901537,-0.038708648,-0.048813729,-0.045301072,-0.40800379,-0.006976219,0.012311633,0.027400117,0.201800554,-0.008746653,-0.014460127,37
0.000613066,0.000851315,-0.011802697,0.008089417,0.116606015,-0.001941869,0.005493567,-0.03279084,-0.039958762,-0.047496748,-0.38071692,0.043005748,0.030260764,-0.000233863,0.223000489,0.00325926,-0.000543137,38
0.002450827,0.000997233,-0.012605972,0.004909156,0.111913832,-0.004229226,0.005037363,-0.045619246,-0.03650804,-0.040133185,-0.393141751,-0.022989664,0.024529443,-0.026157907,0.20314814,0.005982977,-0.033440408,39
-0.057151463,0.000383468,-0.009011963,0.00317177,0.040404768,-0.000659991,0.010531994,-0.143809814,-0.107419932,-0.111064094,1.377375807,-0.015360834,0.044629641,0.0011933,0.101019606,-0.040216219,-0.044836195,40
-0.021101787,0.002566437,-0.021564649,0.003174201,0.081967529,-0.003107054,0.002010249,-0.045626501,-0.042067929,-0.031601474,-0.924757963,-0.034006388,0.070203581,-0.048081218,0.16288027,-0.008702312,0.012965315,41
-0.034662307,0.000880732,-0.014819013,0.004417348,0.108997701,-0.005407367,-0.014487054,-0.031337661,-0.050699716,-0.04972752,-0.489458853,-0.019517323,0.006996544,-0.003833882,0.195053088,-0.030514614,-0.034469462,42
