C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
-0.059373922,0.007765625,-0.06509887,-0.021058519,0.095853556,-0.047808726,-0.030743338,-0.091841922,-0.053854542,-0.07319233,-1.096648652,-0.002352593,-0.127373813,-0.262595004,-0.183009263,-0.037908049,0.018482992,27
-0.028923789,0.005617994,-0.045742968,-0.038916326,0.080479406,-0.035804964,-0.022973464,-0.0716565,-0.036929324,-0.073856198,-1.185961264,-0.017492198,-0.289204813,-0.375304671,-0.461581561,-0.033246493,-0.026931132,28
-0.05687741,0.006788734,-0.053579817,-0.034882399,0.093849142,-0.037377955,-0.026053394,-0.090844817,-0.038691409,-0.087692614,-1.093033218,-0.003740066,-0.082950999,-0.200231064,-0.26022286,-0.025403596,0.035827877,29
0.007912796,0.004859675,-0.010253265,0.005705541,0.20982574,-0.066494331,-0.037673537,-0.06873714,-0.095230533,-0.078687102,0.569172207,0.039206712,0.048224562,0.321454312,0.235780698,0.035326966,0.003361031,30
-0.018557942,0.038660958,-0.005269855,0.010137514,0.124301876,-0.034182596,-0.003626254,-0.060789354,-0.023193676,-0.032422925,-0.432866709,-0.018349326,0.019836197,-0.28301888,-0.135857566,-0.019663449,0.050105319,31
0.002662667,0.011822207,-0.00946543,0.030622536,0.195886045,-0.029994068,0.001308783,-0.023569982,-0.035258089,-0.050298409,-0.029421551,-0.004645892,0.082809124,-0.273261562,0.209534465,0.020435754,0.028639836,32
0.015018157,0.00951129,-0.009524875,0.00133696,0.222628168,-0.071120044,0.001427699,-0.034014909,-0.074196571,-0.077225948,0.192778625,0.032428769,0.029500648,0.256518352,0.228932881,0.021439827,-0.021575896,33
-0.002292474,0.015462867,-0.009043814,0.027990503,0.195191666,-0.027486945,0.010507839,-0.016069961,-0.046496329,-0.033993265,0.024578169,-0.012730466,0.002085155,-0.251679252,0.093677217,0.024529461,0.028631262,34
0.016400843,0.005620706,-0.010888487,0.002867765,0.203243997,-0.068428675,-0.023418102,-0.072031476,-0.111906994,-0.075122904,0.549626484,0.034599068,0.067073953,0.327503095,0.227722248,0.036366134,0.001649477,35
0.016229562,0.005563755,-0.010842561,0.003202874,0.207443937,-0.078399685,-0.037534073,-0.063009633,-0.109032887,-0.08017718,0.645127497,0.03312323,0.053386753,0.324642099,0.254390052,0.029496432,0.010867864,36
-0.009454916,0.016592405,-0.012749726,-0.000553027,0.191012912,-0.062358803,0.002598488,-0.050929894,-0.08290377,-0.080738268,-0.223950407,-0.006631885,-0.009665385,0.071213227,0.03435336,-0.00689858,0.001657202,37
-0.005533291,0.015827311,-0.01859837,-0.000199863,0.186978913,-0.063157376,-0.000593005,-0.059166106,-0.067387064,-0.082376914,-0.235193151,0.012621158,0.068508182,-0.012240556,0.164457179,0.015172674,0.008740714,38
-0.004607507,0.013227874,-0.009983535,0.000991803,0.171947796,-0.036311857,-0.008853786,-0.063983509,-0.05659366,-0.090196531,-0.159306502,-0.019348843,0.03118301,-0.284938331,0.15526184,0.009199818,-0.005801147,39
-0.067939172,0.005349607,-0.007599468,0.001312846,0.180175421,-0.070044242,-0.467629049,-0.034510416,-0.049538654,-0.053861158,0.438063801,0.013085566,0.068122179,0.23671253,0.211316503,0.010934541,-0.021691202,40
-0.02276473,0.024041441,-0.025784154,0.000845982,0.132989836,-0.052756297,-0.127537582,-0.030763113,-0.033184295,-0.04442998,-0.472449011,-0.017874072,0.058960356,-0.310383067,-0.026570066,-0.029779608,0.022894393,41
-0.081747723,0.013627506,-0.013762926,-0.001569832,0.176456878,-0.046309583,-0.159282761,-0.053953854,-0.068313429,-0.089381108,-0.273713193,-0.014333241,-0.009823632,-0.000433758,0.09483381,-0.022987672,-0.018722647,42
-0.079133585,0.010926024,-0.007659834,-0.000723872,0.192930743,-0.06806915,-0.158786263,-0.03627801,-0.05435239,-0.098689027,0.091392946,0.0184158,0.009951768,0.133453756,0.19910245,0.010253163,-0.018665484,43
-0.084163227,0.009612636,-0.011482872,-0.001218123,0.173634794,-0.056936803,-0.180815525,-0.043676678,-0.066938003,-0.104231513,-0.324564723,0.007229724,0.041028916,0.065027186,0.078074485,-0.034996693,-0.034030249,44
-0.007422453,0.005478264,0.014755789,0.027486253,0.212294916,-0.018435028,0.147118458,0.152189714,0.133821329,0.129777919,1.507619693,0.030121127,0.058492754,0.525230736,0.322879933,0.023579995,0.005179035,45
-0.009229158,0.005648944,0.023278468,0.017068634,0.207986409,-0.022575901,0.12166656,0.03278182,0.014671516,0.007796766,1.605522269,0.021697492,0.05933749,0.39394106,0.245782612,0.012466683,0.01821347,46
-0.004339939,0.005488911,0.013620132,0.026725337,0.213111118,-0.018306229,0.149839453,0.159412452,0.129022782,0.155902613,1.503760768,0.032253511,0.082100294,0.51560658,0.317215326,0.037589987,0.008349136,47
-0.015097572,0.005563075,0.008265807,0.017833077,0.20190032,-0.020463431,0.12092651,0.07336835,0.060272709,0.05913333,1.423375679,0.005398014,0.059838916,0.433312698,0.246885863,0.007636538,-0.00612505,48
-0.002596857,0.005516017,0.015884201,0.026921309,0.217775306,-0.011688238,0.159619519,0.179115864,0.166712605,0.196087677,1.569985676,0.030742091,0.074327754,0.540094274,0.337376071,0.053664105,0.008549057,49
0.029056392,0.00577017,0.004923959,0.027504058,0.237888275,0.236141747,0.126970791,0.178597173,0.136556061,0.221430949,0.89173953,0.02081976,0.052369031,0.424329564,0.182925646,-0.00386857,0.069726398,50
0.037745902,0.005861608,0.001666423,0.028757496,0.26501977,0.238568387,0.092732308,0.257429655,0.121286141,0.206397058,0.834570159,0.037623748,0.08598757,0.381723769,0.178950314,-0.01286313,0.207586254,51
0.044648808,0.006291618,0.003421255,0.02828545,0.228604891,0.197176568,0.118091077,0.182090403,0.1068544,0.218985612,0.978623834,0.026026857,0.011536501,0.282597418,0.195107376,-0.003441721,0.098196085,52
0.044976275,0.005528606,-0.004339342,0.02518153,0.24324513,0.220135991,0.159111736,0.201417839,0.212482588,0.272685902,1.0098713,0.020129958,0.055541274,0.450308083,0.296348096,0.014662943,0.087570424,53
0.053170012,0.005559173,-0.005726047,0.023110606,0.2405292,0.201412457,0.152077101,0.218953984,0.215904803,0.261033808,1.114444042,0.005086081,0.05423763,0.406483164,0.316047567,0.023179181,0.090897972,54
-0.075386284,0.016518703,-0.033851764,-0.079870498,0.174243271,0.087010771,-0.304735717,0.102428494,0.055614796,0.082167347,-0.420463363,0.02892536,0.05354487,0.105052502,0.166938148,-0.00103987,-0.005947433,55
0.0154883,0.040124075,0.036665291,0.018671817,0.108799011,0.078968698,-0.075482929,0.003074261,-0.015059084,-0.005380854,-0.657974017,0.01732144,-0.071022017,-0.172304504,-0.057594633,0.000506332,0.063263547,56
0.004557594,0.014913038,0.000203863,0.010066664,0.083224737,0.066214924,-0.076367514,0.016018062,-0.001697512,-0.017590637,-0.743567194,-0.00850627,0.000932072,-0.297119383,-0.217325854,-0.020639009,0.004110351,57
0.020183191,0.033161105,0.032073466,0.007486635,0.107006858,0.059090216,-0.128653389,0.035262168,0.007127973,0.030314014,-0.604156908,-0.007857302,-0.055089169,-0.306779603,-0.034803911,-0.008593949,0.047971341,58
0.000138021,0.01489798,0.004247502,0.011938209,0.084643117,0.058038254,-0.073991044,0.004301543,-0.004539155,-0.017151932,-0.705495123,-0.012223714,0.016343865,-0.294193115,-0.214618471,-0.018841065,0.001447262,59
-0.004033348,0.009826687,0.051957738,-0.001590506,0.107032727,0.085266801,-0.145849175,0.106164039,0.068266735,0.075756931,-0.860428321,0.020941004,0.245800697,-0.123904738,-0.102301413,-0.045756297,0.012870772,60
-0.00241144,0.008329203,0.018474261,-0.008507031,0.083777882,0.04979022,-0.136739046,0.085572627,0.052994053,0.064574127,-1.109483601,-0.009059758,-0.018265613,-0.380816324,-0.484022431,-0.05030546,-0.022683035,61
0.009778555,0.013026886,0.083230719,0.006256354,0.130921321,0.092848895,-0.146018753,0.119437406,0.066802634,0.085322309,-0.774832213,0.016523428,0.299846312,0.002468471,0.201431407,0.009988833,0.053443069,62
0.008550669,0.012091402,0.064613602,0.004853291,0.122655329,0.096787689,-0.136085412,0.110528522,0.068912638,0.094527058,-0.794183463,0.065371684,0.235754641,-0.009741593,0.104307911,-0.001253822,0.047887388,63
-0.011456141,0.007352123,0.011875488,-0.003234517,0.084610443,0.055623681,-0.140605263,0.064625266,0.037412717,0.063013266,-1.031569832,-0.013112092,0.240154438,-0.391105383,-0.492065025,-0.063482217,-0.027789022,64
-0.007090711,0.016500821,0.004893966,-0.010514778,0.163506362,0.063660948,0.021219686,-0.026837205,-0.039107209,-0.046883741,0.040945309,-0.028593955,0.005441409,-0.318878061,-0.039613025,-0.017756008,0.035616925,65
-0.004944468,0.017328442,0.012476797,-0.010274598,0.165647663,0.069054827,0.021719588,-0.019532766,-0.038103239,-0.030447481,0.010929155,-0.017424487,0.05275012,-0.289840581,-0.027773651,-0.007515823,0.051437935,66
-0.076732477,0.008936919,-0.021877778,-0.048670087,0.197620608,0.078479871,-0.001918204,-0.041293081,-0.079279965,-0.078447949,0.38393156,0.017373154,0.043069884,-0.038476621,0.115542425,-0.027161016,0.02752379,67
0.000539131,0.015958443,0.014284219,-0.005903293,0.145744758,0.054838046,0.012541602,-0.026579334,-0.040126917,-0.039955274,-0.009879573,-0.01771534,-0.016838436,-0.26876346,-0.180147077,-0.018769865,0.050051502,68
-0.002344508,0.01482266,0.013101797,-0.004092769,0.14465609,0.062252057,0.01312399,-0.026307951,-0.04184233,-0.033574859,0.017642297,-0.025246521,-0.061305135,-0.271377897,-0.182982219,-0.013058877,0.056795606,69
-0.010190723,0.004775917,-0.043621602,-0.047021953,0.080058149,0.046244658,-0.133740554,0.067571638,0.048283742,0.05250767,-1.31697858,-0.058840764,-0.264111697,-0.424257509,-0.818112354,-0.100521811,-0.083784894,70
-0.001950277,0.008064939,-0.020130655,-0.020167172,0.078979933,0.052329158,-0.076080721,0.004971811,-0.014203599,-0.014540889,-0.939550426,0.00385694,-0.133712206,-0.321215041,-0.46325193,-0.043581461,-0.012095671,71
-0.009424548,0.006982336,-0.030896744,-0.03249699,0.080034443,0.048976051,-0.112290069,0.036460047,-0.00220095,0.029074796,-1.070965732,-0.025871723,-0.176938091,-0.353225794,-0.505161554,-0.069440778,-0.031805067,72
-0.012420553,0.007274352,-0.063638998,-0.003888383,0.089138892,0.066984839,-0.1379896,0.07974087,0.046093683,0.062248891,-1.055987825,-0.048013213,0.11103053,-0.290866308,-0.530733917,-0.069032085,0.005818161,73
-0.003428164,0.006603182,-0.013555989,-0.0025556,0.08616139,0.066229678,-0.130418771,0.097912852,0.071302575,0.071720318,-0.868513099,0.010653701,0.261003465,-0.32429644,-0.382636981,-0.04025086,-7.01E-05,74
