C,H,O,N,F,S,System_Size,a,b,c,alpha,beta,gamma,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
-0.113748886,-0.007855579,-0.036067974,0.053506833,0.051069457,-0.025383499,0.011493927,-0.14174362,0.0,0.0,0.0,0.0,0.0,-1.3701582,-0.097041465,-0.064396985,-0.011861577,-0.5943198,-0.024688898,0.068444714,25
-0.11091158,0.0006486711,-0.052075323,0.060577415,0.062085554,-0.037506763,0.03603579,-0.23045067,0.0,0.0,0.0,0.0,0.0,-1.0420991,-0.21600474,0.03375725,-0.009589385,-0.09464414,-0.0010911822,0.047235258,26
-0.11396143,-0.0070579853,-0.06537705,0.09153674,0.05395385,-0.036061436,0.052429758,-0.19025959,0.0,0.0,0.0,0.0,0.0,-1.2214172,0.07917591,-0.38424098,-0.08536003,-0.12521453,-0.03668921,0.044306695,27
-0.08508022,-0.009241478,-0.0517003,0.050318297,0.048855286,-0.029265298,0.007905702,-0.15700102,0.0,0.0,0.0,0.0,0.0,-1.384437,-0.033145316,-0.40737456,-0.004940606,-0.62595916,-0.0016202227,0.06493001,28
-0.12319781,-0.005310184,-0.044371903,0.123316176,0.05244298,-0.03462363,0.014286773,-0.1528432,0.0,0.0,0.0,0.0,0.0,-1.214259,-0.0046737273,-0.06204605,-0.07884425,-0.32024214,-0.019888805,0.060254816,29
-0.044958957,-0.0013646914,-0.014878586,0.09473113,0.059888244,-0.018292636,-0.051511973,-0.20087874,0.0,0.0,0.0,0.0,0.0,1.2694882,0.0855322,0.0884894,0.031306867,0.19335185,0.015881693,-0.26395145,30
-0.04477371,-0.003826148,-0.07190056,0.10893331,0.06374112,-0.027129743,0.014900686,-0.13670199,0.0,0.0,0.0,0.0,0.0,-0.69735247,0.088165365,0.08909963,0.008125317,-0.19375826,0.018091362,0.0716424,31
0.051303644,-0.00019092773,-0.019764667,0.085082754,0.07788008,-0.037931923,0.044450358,-0.13334757,0.0,0.0,0.0,0.0,0.0,-0.2541778,-0.0911872,0.29790783,-0.03240712,0.19914551,0.097245745,0.026358968,32
-0.014425679,-0.0013753166,-0.020450117,0.18421902,0.086486615,-0.020959944,0.058281023,-0.09359476,0.0,0.0,0.0,0.0,0.0,0.0047981776,0.10524034,0.1375305,0.06993235,0.21366385,0.09711893,0.031913713,33
-0.03703592,-0.0006641961,-0.027435113,0.13988797,0.082123764,-0.021351174,0.061132453,-0.15199484,0.0,0.0,0.0,0.0,0.0,-0.29309624,-0.11013794,0.12000572,-0.020152265,0.17635694,0.13882428,0.019300582,34
0.01565028,-1.133226e-05,-0.012818564,0.06888006,0.052230824,-0.035604063,-0.12816691,-0.21157458,0.0,0.0,0.0,0.0,0.0,1.0874593,0.115212664,0.2411093,0.052218325,0.13300459,0.06461443,-0.20288846,35
0.00587247,0.00028757236,-0.012583582,0.06687369,0.046759214,-0.030722437,-0.12899692,-0.27197966,0.0,0.0,0.0,0.0,0.0,1.377326,0.09592611,0.043838453,0.06734266,0.1595261,0.020334903,-0.11101835,36
-0.00529913,-0.00023803244,-0.02924762,0.13966298,0.06991063,-0.027520074,-0.05750105,-0.03110779,0.0,0.0,0.0,0.0,0.0,-0.19084993,-0.026536467,0.0022270246,0.04217311,0.0018548783,-0.030577157,0.0022213275,37
-0.03975137,0.0010989862,-0.02191873,0.08031959,0.069619805,-0.04385351,-0.044938415,-0.04600492,0.0,0.0,0.0,0.0,0.0,-0.25299224,0.06307781,0.11982011,-0.10357671,0.20518558,0.060078852,0.020436931,38
0.0017730867,0.0009740739,-0.021423977,0.05620402,0.07141315,-0.0342138,-0.04457051,-0.04835279,0.0,0.0,0.0,0.0,0.0,-0.19559602,-0.14007,-0.035356887,-0.064181134,0.15639497,0.09908471,-0.031800143,39
-0.15388654,0.000110941444,-0.020101631,0.05285355,0.048693795,-0.03438889,0.11753481,-0.31772733,0.0,0.0,0.0,0.0,0.0,1.1773295,0.011907494,0.011626629,-0.014821283,0.09370141,0.049691513,-0.4417271,40
-0.060438223,0.001286321,-0.08208434,0.03443721,0.064135745,-0.042953465,-0.0063795606,-0.042149127,0.0,0.0,0.0,0.0,0.0,-0.6565805,-0.15656827,0.019999087,-0.010051236,0.025098065,-0.0013791954,0.045251433,41
-0.12659998,-0.00039067044,-0.030604359,0.12222882,0.0697237,-0.044897735,-0.017027684,-0.04204986,0.0,0.0,0.0,0.0,0.0,-0.3681034,-0.05565834,0.02647438,-0.07879668,0.15964442,-0.037674032,-0.017812967,42
-0.16349846,-0.0004793521,-0.021659914,0.14337456,0.07463081,-0.033723857,-0.009527262,-0.0370893,0.0,0.0,0.0,0.0,0.0,-0.0763032,0.08744216,0.10167861,0.010291134,0.12255787,0.081063256,-0.043754723,43
-0.19228193,0.00073744124,-0.028762547,0.08965573,0.06197275,-0.06652963,0.0017472961,-0.13332614,0.0,0.0,0.0,0.0,0.0,-0.37734133,0.11439268,0.039246168,0.018398264,0.08194409,-0.023949726,-0.059850793,44
0.054181516,0.0001841502,-0.012722882,0.061907277,0.050935615,-0.011009293,0.11362671,0.172547,0.0,0.0,0.0,0.0,0.0,2.405182,0.13032918,0.0500337,0.07094113,0.21123447,0.04209474,0.03255851,45
-0.01986791,-0.0009248947,-0.02022662,0.097168654,0.0548202,-0.018194942,0.10917044,-0.21792112,0.0,0.0,0.0,0.0,0.0,2.3079278,0.1380089,0.11448944,0.068610534,0.13975775,0.093497574,0.09504391,46
0.035378657,-9.841035e-05,-0.010518877,0.055832278,0.044909243,-0.021506771,0.12275594,0.35107827,0.0,0.0,0.0,0.0,0.0,2.41139,0.0530532,0.3006387,0.04196094,0.22452827,0.042201538,-0.18965486,47
0.025393365,0.00017482713,-0.013500184,0.048859905,0.04603371,-0.021710403,0.11242794,-0.07019777,0.0,0.0,0.0,0.0,0.0,2.231257,0.07407528,0.009152813,0.064346366,0.18020883,0.011707053,0.027224012,48
0.06710965,-0.00024767604,-0.011165487,0.05266488,0.051977467,-0.019676996,0.12381813,0.6771331,0.0,0.0,0.0,0.0,0.0,2.505071,0.06950755,0.24443445,0.03632826,0.16921021,0.116542384,-0.37035707,49
0.12357439,0.0006263449,-0.012040581,0.079445496,0.04860798,0.08589692,0.11038796,0.27087346,0.0,0.0,0.0,0.0,0.0,1.7759813,0.09308612,0.091048524,0.04525846,0.1680591,-0.010009372,0.08324785,50
0.13030289,0.0019572133,-0.005595886,0.09710507,0.055921648,0.11272201,0.11208867,0.28612965,0.0,0.0,0.0,0.0,0.0,1.6409311,0.12766601,0.10999184,0.08751981,0.19041787,0.0047907005,0.1647783,51
0.1172342,-0.00039810588,-0.004702517,0.078466296,0.058443807,0.076645404,0.11057005,0.31678134,0.0,0.0,0.0,0.0,0.0,1.6512507,0.08576855,0.0729049,0.015333062,0.16691752,-0.02429846,0.08407741,52
0.12686388,0.00068280945,-0.015291195,0.086216256,0.054880586,0.075472526,0.11181598,0.47260493,0.0,0.0,0.0,0.0,0.0,2.0108144,0.107430555,0.061644536,0.04485294,0.18017831,0.028646372,0.08724146,53
0.1299771,7.7944875e-05,-0.013587018,0.07228032,0.057544705,0.04732571,0.1099042,0.645947,0.0,0.0,0.0,0.0,0.0,2.121046,-0.099968456,0.074846916,0.05372355,0.17098342,0.083533466,0.06339632,54
0.09060566,-0.0012022125,0.110859655,-0.119582936,0.06358002,0.026429007,0.0060140775,0.22799063,0.0,0.0,0.0,0.0,0.0,-0.7564749,0.063687705,0.07607931,0.018953638,0.1994118,-0.018804638,0.0048336065,55
0.087891854,-0.0046917885,0.19112028,-0.090325594,0.062529914,0.044779636,0.01805004,0.046985973,0.0,0.0,0.0,0.0,0.0,-0.67792106,0.0153140705,-0.20963141,-0.05798705,-0.052353196,0.024690896,0.10427338,56
0.08606468,-0.007877935,0.051676415,-0.1047096,0.058518726,0.040338166,0.03867728,-0.041156102,0.0,0.0,0.0,0.0,0.0,-1.0458653,-0.023314973,0.010535747,0.004177784,-0.2321921,-0.01504866,0.07736311,57
0.11110389,-0.0046345997,0.09822114,-0.08592931,0.06472521,0.034441374,-0.005385351,-0.02746452,0.0,0.0,0.0,0.0,0.0,-0.70213044,-0.07758529,-0.07443856,0.0008097239,-0.05877881,0.00503041,0.05235663,58
0.08274048,-0.006789622,0.056748852,-0.10012727,0.061042715,0.044027075,0.029403703,-0.038411427,0.0,0.0,0.0,0.0,0.0,-1.0065842,-0.00937128,-0.026502471,0.0064058956,-0.15707201,-0.015094204,0.08891883,59
-0.0036809666,0.0010743542,0.08034847,0.038755406,0.050087176,0.07114943,0.014496034,0.25363714,0.0,0.0,0.0,0.0,0.0,-1.3254875,0.047156762,0.508727,-0.084524974,-0.0678651,-0.06164219,0.03846844,60
-0.06492605,-0.0101198815,0.074491225,0.046026196,0.048722424,0.045384858,0.028782668,0.35141432,0.0,0.0,0.0,0.0,0.0,-1.5674926,-0.061305016,-0.017660614,-0.0032590888,-0.49476308,-0.18581197,0.03992243,61
-0.072598316,-3.4074736e-05,0.09235186,0.07324633,0.061334718,0.10093937,0.022876676,0.37657306,0.0,0.0,0.0,0.0,0.0,-1.1883681,0.013128096,0.69515175,-0.06601984,0.292845,-0.0030217487,0.09707518,62
-0.032299586,0.0016240497,0.052037448,0.075204015,0.060843486,0.07652258,0.01986767,0.2672814,0.0,0.0,0.0,0.0,0.0,-1.110677,0.20859958,0.3972382,-0.057465795,0.18058859,-0.027155839,0.08149666,63
-0.0015054604,-0.0028015005,0.06289225,0.03306196,0.047824983,0.030513156,0.029825505,0.25613156,0.0,0.0,0.0,0.0,0.0,-1.4312685,0.044162527,0.08587197,-0.005953301,-0.5281381,-0.19255269,0.03283655,64
0.019102283,0.00023067274,0.13089795,-0.10433217,0.07331681,0.035279512,-0.0593249,-0.018887058,0.0,0.0,0.0,0.0,0.0,-0.10033348,-0.11297887,0.01881277,-0.056736626,0.027790999,0.006248902,0.043885425,65
0.08351742,0.003594966,0.077514,-0.084923044,0.07016283,0.035873577,-0.037178956,0.015441008,0.0,0.0,0.0,0.0,0.0,-0.07690979,-0.049155064,0.050485488,-0.038627237,0.023391945,0.0021577252,0.04985126,66
0.023538882,0.0009221089,0.027666766,-0.06977629,0.06907096,0.06520065,-0.04722045,-0.040779985,0.0,0.0,0.0,0.0,0.0,0.35349673,0.025727516,0.14551988,-0.0987807,0.15005115,-0.01562576,0.025429754,67
0.047682762,0.0002641395,0.1541791,-0.10416425,0.06529968,0.024961619,-0.047650147,-0.032456256,0.0,0.0,0.0,0.0,0.0,-0.13644119,-0.058915976,0.065555915,-0.031011598,-0.18981543,-0.03591567,0.06059772,68
0.065309085,0.0009228229,0.11813908,-0.10069617,0.063714676,0.03170618,-0.050978545,-0.049700502,0.0,0.0,0.0,0.0,0.0,-0.1449372,-0.032210354,0.032711267,-0.021021398,-0.16744472,-0.023775475,0.062344585,69
-0.071705505,-0.009766442,-0.038472254,0.039422132,0.04157639,0.03028517,0.035558064,0.29010367,0.0,0.0,0.0,0.0,0.0,-1.6381899,-0.40418512,-0.48164517,0.0010418583,-0.54751694,-0.17328061,0.028036807,70
0.018867787,-0.0068848794,-0.0101832505,0.041700985,0.049616255,0.037153747,0.02816084,-0.012548536,0.0,0.0,0.0,0.0,0.0,-1.3571059,-0.02432099,-0.039721914,0.014259311,-0.53550273,-0.032245643,0.075370185,71
0.005564756,-0.0088726925,-0.006912708,0.035955824,0.045129023,0.032616206,0.02273586,-0.06908219,0.0,0.0,0.0,0.0,0.0,-1.3993741,0.0027794158,-0.115217954,0.0020868764,-0.5378507,-0.17178147,0.048403576,72
-0.050114475,-0.009155191,0.023629963,0.04561572,0.050468605,0.056031156,0.026853794,0.3380576,0.0,0.0,0.0,0.0,0.0,-1.3883942,-0.07017192,-0.039242234,-0.082367286,-0.56113654,-0.074232,0.070521645,73
0.012814167,-0.001871123,0.044379998,0.03498593,0.057166085,0.038816556,0.028570548,0.3552226,0.0,0.0,0.0,0.0,0.0,-1.1718228,0.06712324,0.17191742,0.0026528107,-0.4420876,-0.11573878,0.08207499,74
